,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
211,211,21900207,1610612761,1610612753,19800.0,113,97,21,16,202901,2148,2534,Toronto Raptors,Orlando Magic
212,212,21900214,1610612756,1610612740,13903.0,121,124,19,25,201639,202027,200833,Phoenix Suns,New Orleans Pelicans
213,213,21900213,1610612749,1610612757,17385.0,137,129,20,27,1626302,101284,202041,Milwaukee Bucks,Portland Trail Blazers
214,214,21900218,1610612755,1610612759,20927.0,115,104,21,15,2148,201245,2534,Philadelphia 76ers,San Antonio Spurs
215,215,21900219,1610612741,1610612748,18953.0,108,116,24,17,1162,203593,202053,Chicago Bulls,Miami Heat
216,216,21900217,1610612751,1610612758,15619.0,116,97,18,25,201246,201640,202056,Brooklyn Nets,Sacramento Kings
217,217,21900224,1610612746,1610612745,19068.0,122,119,32,27,1201,201638,2715,Los Angeles Clippers,Houston Rockets
218,218,21900215,1610612765,1610612737,15399.0,128,103,17,18,202041,1628159,200832,Detroit Pistons,Atlanta Hawks
219,219,21900223,1610612762,1610612744,18306.0,113,109,14,18,202035,202007,1151,Utah Jazz,Golden State Warriors
220,220,21900221,1610612742,1610612739,19639.0,143,101,18,15,1179,1626300,1627524,Dallas Mavericks,Cleveland Cavaliers
221,221,21900222,1610612743,1610612738,19520.0,96,92,17,19,1626301,1146,2002,Denver Nuggets,Boston Celtics
222,222,21900216,1610612764,1610612766,15053.0,125,118,13,18,1628951,101283,204058,Washington Wizards,Charlotte Hornets
223,223,21900220,1610612760,1610612747,18203.0,127,130,23,20,203591,2530,1155,Oklahoma City Thunder,Los Angeles Lakers
224,224,21900230,1610612755,1610612748,21017.0,113,86,27,16,1627529,2529,101283,Philadelphia 76ers,Miami Heat
225,225,21900229,1610612752,1610612759,19320.0,104,111,22,17,1628172,1148,1193,New York Knicks,San Antonio Spurs
226,226,21900231,1610612739,1610612757,19432.0,110,104,14,20,1628951,204058,2003,Cleveland Cavaliers,Portland Trail Blazers
227,227,21900233,1610612749,1610612765,17585.0,104,90,14,18,203593,1162,2004,Milwaukee Bucks,Detroit Pistons
228,228,21900234,1610612762,1610612740,18306.0,128,120,21,24,1204,2715,201638,Utah Jazz,New Orleans Pelicans
229,229,21900227,1610612754,1610612753,16446.0,111,106,14,16,1188,200833,101284,Indiana Pacers,Orlando Magic
230,230,21900228,1610612737,1610612761,16931.0,116,119,27,16,1174,1627964,202037,Atlanta Hawks,Toronto Raptors
231,231,21900225,1610612750,1610612756,17362.0,98,100,23,17,202026,1628481,1199,Minnesota Timberwolves,Phoenix Suns
232,232,21900226,1610612766,1610612741,17891.0,115,116,17,20,1627962,202058,201245,Charlotte Hornets,Chicago Bulls
233,233,21900232,1610612763,1610612747,17794.0,108,109,19,14,2714,1628954,1626302,Memphis Grizzlies,Los Angeles Lakers
234,234,21900236,1610612752,1610612751,18770.0,101,103,29,16,202049,1627541,200834,New York Knicks,Brooklyn Nets
235,235,21900239,1610612746,1610612740,19068.0,134,109,21,26,1626301,1179,1146,Los Angeles Clippers,New Orleans Pelicans
236,236,21900235,1610612745,1610612742,18055.0,123,137,26,22,2002,203591,2882,Houston Rockets,Dallas Mavericks
237,237,21900238,1610612743,1610612756,19520.0,116,104,16,18,1151,202035,202007,Denver Nuggets,Phoenix Suns
238,238,21900237,1610612764,1610612758,15885.0,106,113,23,17,1155,2148,204059,Washington Wizards,Sacramento Kings
239,239,21900250,1610612744,1610612760,18064.0,97,100,17,16,1146,201638,1626301,Golden State Warriors,Oklahoma City Thunder
240,240,21900249,1610612759,1610612747,18498.0,104,114,22,18,2715,1626300,200832,San Antonio Spurs,Los Angeles Lakers
241,241,21900247,1610612741,1610612757,18776.0,94,117,20,20,1174,101283,1627964,Chicago Bulls,Portland Trail Blazers
242,242,21900244,1610612738,1610612758,19156.0,103,102,16,18,2529,201245,202901,Boston Celtics,Sacramento Kings
243,243,21900240,1610612739,1610612751,17143.0,106,108,14,21,1188,1193,202041,Cleveland Cavaliers,Brooklyn Nets
244,244,21900245,1610612748,1610612766,19600.0,117,100,23,24,1628954,2714,1198,Miami Heat,Charlotte Hornets
245,245,21900241,1610612765,1610612753,14695.0,103,88,20,21,204059,1627963,202027,Detroit Pistons,Orlando Magic
246,246,21900248,1610612749,1610612762,17385.0,122,118,15,23,2534,202026,201637,Milwaukee Bucks,Utah Jazz
247,247,21900242,1610612754,1610612763,15141.0,126,114,11,16,203593,1148,202037,Indiana Pacers,Memphis Grizzlies
248,248,21900243,1610612737,1610612750,16218.0,113,125,25,25,203592,2004,201246,Atlanta Hawks,Minnesota Timberwolves
249,249,21900246,1610612761,1610612755,19800.0,101,96,18,20,101284,202049,202056,Toronto Raptors,Philadelphia 76ers
250,250,21900251,1610612742,1610612746,20407.0,99,114,21,27,200833,101283,204058,Dallas Mavericks,Los Angeles Clippers
251,251,21900252,1610612743,1610612764,18673.0,117,104,20,22,1204,2003,202053,Denver Nuggets,Washington Wizards
252,252,21900257,1610612755,1610612758,20592.0,97,91,12,19,202007,202058,1627962,Philadelphia 76ers,Sacramento Kings
253,253,21900266,1610612744,1610612741,18064.0,104,90,17,20,1626302,1628159,2003,Golden State Warriors,Chicago Bulls
254,254,21900262,1610612759,1610612750,18354.0,101,113,18,19,2530,204058,1627524,San Antonio Spurs,Minnesota Timberwolves
255,255,21900263,1610612756,1610612764,14123.0,132,140,21,20,2004,1146,1201,Phoenix Suns,Washington Wizards
256,256,21900253,1610612738,1610612751,19156.0,121,110,17,22,1627964,1148,1198,Boston Celtics,Brooklyn Nets
257,257,21900259,1610612745,1610612748,18055.0,117,108,22,24,202041,200832,1627961,Houston Rockets,Miami Heat
258,258,21900255,1610612739,1610612753,17712.0,104,116,15,22,202056,1162,202049,Cleveland Cavaliers,Orlando Magic
259,259,21900265,1610612757,1610612760,19870.0,136,119,32,21,1179,200834,1627963,Portland Trail Blazers,Oklahoma City Thunder
260,260,21900261,1610612749,1610612737,17525.0,111,102,23,25,1193,201639,1627534,Milwaukee Bucks,Atlanta Hawks
261,261,21900256,1610612754,1610612762,17027.0,121,102,19,21,201245,1151,1628953,Indiana Pacers,Utah Jazz
262,262,21900254,1610612766,1610612765,15535.0,102,101,18,18,1199,202026,202037,Charlotte Hornets,Detroit Pistons
263,263,21900258,1610612761,1610612752,19800.0,126,98,18,17,202027,204059,1155,Toronto Raptors,New York Knicks
264,264,21900260,1610612763,1610612746,16721.0,119,121,22,24,201246,201640,1626300,Memphis Grizzlies,Los Angeles Clippers
265,265,21900264,1610612740,1610612747,18626.0,110,114,23,24,2534,203592,2002,New Orleans Pelicans,Los Angeles Lakers
266,266,21900276,1610612759,1610612746,18354.0,107,97,15,17,202053,1628481,101284,San Antonio Spurs,Los Angeles Clippers
267,267,21900279,1610612747,1610612764,18997.0,125,103,20,23,201246,1627963,1179,Los Angeles Lakers,Washington Wizards
268,268,21900271,1610612752,1610612755,18109.0,95,101,33,23,1198,2882,1626301,New York Knicks,Philadelphia 76ers
269,269,21900277,1610612756,1610612742,18055.0,113,120,29,24,200834,1628159,2003,Phoenix Suns,Dallas Mavericks
270,270,21900267,1610612751,1610612738,17732.0,112,107,24,14,1155,1199,201638,Brooklyn Nets,Boston Celtics
271,271,21900269,1610612753,1610612761,17014.0,83,90,19,20,2530,1628172,1193,Orlando Magic,Toronto Raptors
272,272,21900270,1610612739,1610612749,19432.0,110,119,22,15,1628953,2714,202027,Cleveland Cavaliers,Milwaukee Bucks
273,273,21900273,1610612748,1610612744,19600.0,122,105,30,23,203592,1151,2715,Miami Heat,Golden State Warriors
274,274,21900268,1610612765,1610612766,15006.0,107,110,16,17,1830,204058,202035,Detroit Pistons,Charlotte Hornets
275,275,21900278,1610612757,1610612741,20139.0,107,103,21,22,1204,2148,2004,Portland Trail Blazers,Chicago Bulls
