,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Off_Rating_Home,Off_Rating_Away
164,0021900166,1610612743,1610612751,18394,101,93,14,14,1627964,2148,1162,102.0,92.1
165,0021900164,1610612740,1610612746,17147,132,127,25,22,2003,1628953,200832,125.7,119.8
166,0021900173,1610612744,1610612738,18064,100,105,19,24,2714,202037,1193,95.2,101.0
167,0021900174,1610612747,1610612758,18997,99,97,18,22,2882,1627541,1179,105.3,104.3
168,0021900168,1610612753,1610612759,16296,111,109,13,25,201245,2529,1626302,116.8,114.7
169,0021900169,1610612745,1610612754,18055,111,102,23,25,1174,202007,1201,111.0,102.0
170,0021900171,1610612750,1610612764,12716,116,137,20,22,1830,201637,203592,104.5,123.4
171,0021900167,1610612766,1610612765,16778,109,106,17,19,202041,202027,202901,112.4,110.4
172,0021900172,1610612760,1610612755,18203,127,119,23,32,1204,202026,1146,123.3,115.5
173,0021900170,1610612763,1610612762,16422,107,106,23,16,1148,200834,2005,102.9,103.9
174,0021900181,1610612759,1610612757,18534,116,121,17,20,1146,200833,1626301,111.5,115.2
175,0021900175,1610612741,1610612751,19148,111,117,30,30,200832,202056,101284,100.9,107.3
176,0021900177,1610612752,1610612766,19401,102,103,21,18,1151,203591,1627961,113.3,113.2
177,0021900182,1610612746,1610612737,19068,150,101,28,27,101283,1162,203593,137.6,92.7
178,0021900178,1610612748,1610612740,19600,109,94,6,16,1188,201638,2534,114.7,98.9
179,0021900176,1610612754,1610612749,17024,83,102,10,13,2530,1627963,1198,80.6,101.0
180,0021900180,1610612742,1610612761,19926,110,102,15,20,201639,1628172,201246,106.8,100.0
181,0021900179,1610612750,1610612745,18978,105,125,20,18,1627964,202058,1626300,105.0,125.0
182,0021900188,1610612747,1610612737,18997,122,101,19,19,1193,1628953,2714,120.8,100.0
183,0021900185,1610612753,1610612764,16344,125,121,15,21,1148,1627529,202049,122.5,119.8
184,0021900183,1610612739,1610612755,19432,95,114,21,22,204059,2715,1627534,93.1,112.9
185,0021900184,1610612758,1610612738,16633,100,99,24,14,1627962,2148,202053,104.2,103.1
186,0021900186,1610612763,1610612743,14227,114,131,17,24,2003,202901,203592,109.6,126.0
187,0021900187,1610612740,1610612744,16812,108,100,21,19,200834,1201,1174,110.2,101.0
188,0021900192,1610612741,1610612749,17565,101,115,25,16,2003,202026,1626301,97.1,110.6
189,0021900189,1610612752,1610612739,17097,123,105,24,26,202058,202056,101284,128.1,109.4
190,0021900195,1610612756,1610612738,15193,85,99,17,21,1628953,201246,1179,85.9,98.0
191,0021900190,1610612751,1610612754,14140,86,115,19,22,2715,204058,1628951,87.8,118.6
192,0021900197,1610612746,1610612760,19068,90,88,25,19,201639,202053,1627962,93.8,92.6
193,0021900193,1610612745,1610612757,18055,132,108,21,21,1199,1628954,200834,123.4,101.9
194,0021900196,1610612762,1610612750,18306,102,112,23,25,1162,101283,203593,96.2,104.7
195,0021900194,1610612742,1610612759,19637,117,110,19,18,201640,201638,1188,120.6,113.4
196,0021900191,1610612761,1610612766,19800,132,96,25,19,2529,1198,1627963,134.7,98.0
197,0021900201,1610612747,1610612760,18997,112,107,20,22,202037,202027,1830,115.5,109.2
198,0021900200,1610612758,1610612756,16732,120,116,26,20,2714,1204,1193,117.6,113.7
199,0021900198,1610612763,1610612744,14511,95,114,23,24,201245,202041,1627541,96.9,114.0
200,0021900199,1610612740,1610612757,15021,115,104,15,23,1148,202049,1627964,111.7,101.0
201,0021900202,1610612755,1610612752,20384,109,104,14,25,203592,204058,1174,112.4,107.2
202,0021900209,1610612741,1610612765,18119,109,89,24,20,1628953,2002,1146,109.0,89.0
203,0021900205,1610612751,1610612766,14011,101,91,21,23,2003,1628481,202026,100.0,91.0
